0 மகன் மகள் அவள் அவன்
0 வேலைக்காரன் வேலைக்காரி தலைவி தலைவன்
0 சகோதரர் சகோதரி தலைவி தலைவன்
0 மருமகன் மருமகள் மகள் மகன்
0 மருமகன் மருமகள் அவள் அவன்
1 தலை தலையின் மரத்தின் மரம்
1 விவசாயிகள் விவசாயிகளின் ராஜாவின் ராஜா
1 கடவுள் கடவுளின் மனைவியின் மனைவி
1 அரசாங்கம் அரசாங்கத்தின் ராஜாவின் ராஜா
1 மயில் மயிலின் மரத்தின் மரம்
1 தாய் தாயின் ஆண்டவரின் ஆண்டவர்
1 விவசாயிகள் விவசாயிகளின் அவர்களின் அவர்கள்
1 புள்ளி புள்ளியின் மயிலின் மயில்
1 அரசாங்கம் அரசாங்கத்தின் பழத்தின் பழம்
1 கோயில் கோயிலின் மனைவியின் மனைவி
1 விவசாயிகள் விவசாயிகளின் அம்மாவின் அம்மா
1 கை கையின் தலைவரின் தலைவர்
1 கணவர் கணவரின் ஆண்டவரின் ஆண்டவர்
1 தலைவர் தலைவரின் கணவரின் கணவர்
1 மரம் மரத்தின் படிப்பின் படிப்பு
1 கடவுள் கடவுளின் தாயின் தாய்
1 சீனா சீனாவின் மயிலின் மயில்
1 கோயில் கோயிலின் கடவுளின் கடவுள்
1 கோயில் கோயிலின் மக்களின் மக்கள்
1 அவர்கள் அவர்களின் தமிழர்களின் தமிழர்கள்
1 கடவுள் கடவுளின் மயிலின் மயில்
1 மக்கள் மக்களின் திரைப்படத்தின் திரைப்படம்
1 அவர்கள் அவர்களின் ஆண்டவரின் ஆண்டவர்
1 நாயகன் நாயகனின் மரத்தின் மரம்
1 சீனா சீனாவின் புள்ளியின் புள்ளி
1 தமிழர்கள் தமிழர்களின் நாயகனின் நாயகன்
1 விவசாயிகள் விவசாயிகளின் புள்ளியின் புள்ளி
1 அரசாங்கம் அரசாங்கத்தின் ஆண்டவரின் ஆண்டவர்
1 கணவர் கணவரின் தாயின் தாய்
1 நாயகன் நாயகனின் பிரதமரின் பிரதமர்
1 இந்தியா இந்தியாவின் ராஜாவின் ராஜா
1 கணவர் கணவரின் படிப்பின் படிப்பு
1 ஆண்டவர் ஆண்டவரின் பிரதமரின் பிரதமர்
1 திரைப்படம் திரைப்படத்தின் ஆண்டவரின் ஆண்டவர்
1 சீனா சீனாவின் தாயின் தாய்
1 கோயில் கோயிலின் மரத்தின் மரம்
1 விவசாயிகள் விவசாயிகளின் திரைப்படத்தின் திரைப்படம்
1 அவர்கள் அவர்களின் படிப்பின் படிப்பு
1 தலை தலையின் நாயகனின் நாயகன்
1 கை கையின் ராஜாவின் ராஜா
1 கை கையின் புள்ளியின் புள்ளி
