0 மருமகன் மருமகள் மகள் மகன்
0 மருமகன் மருமகள் சின்னவள் சின்னவர்
0 மருமகன் மருமகள் அவள் அவன்
0 மகன் மகள் சின்னவள் சின்னவர்
0 மகன் மகள் அவள் அவன்
0 சின்னவர் சின்னவள் அவள் அவன்
0 சகோதரர் சகோதரி ராட்சசி ராட்சசன்
0 சகோதரர் சகோதரி சமையல்காரி சமையல்காரன்
0 சகோதரர் சகோதரி வேலைக்காரி வேலைக்காரன்
0 சகோதரர் சகோதரி தையல்காரி தையல்காரன்
0 சகோதரர் சகோதரி வேட்டைக்காரி வேட்டைக்காரன்
0 சகோதரர் சகோதரி தலைவி தலைவன்
0 சகோதரர் சகோதரி பிச்சைக்காரி பிச்சைக்காரன்
0 சகோதரர் சகோதரி காவல்காரி காவல்காரன்
0 ராட்சசன் ராட்சசி சமையல்காரி சமையல்காரன்
0 ராட்சசன் ராட்சசி வேலைக்காரி வேலைக்காரன்
0 ராட்சசன் ராட்சசி தையல்காரி தையல்காரன்
0 ராட்சசன் ராட்சசி வேட்டைக்காரி வேட்டைக்காரன்
0 ராட்சசன் ராட்சசி தலைவி தலைவன்
0 ராட்சசன் ராட்சசி பிச்சைக்காரி பிச்சைக்காரன்
0 ராட்சசன் ராட்சசி காவல்காரி காவல்காரன்
0 சமையல்காரன் சமையல்காரி வேலைக்காரி வேலைக்காரன்
0 சமையல்காரன் சமையல்காரி தையல்காரி தையல்காரன்
0 சமையல்காரன் சமையல்காரி வேட்டைக்காரி வேட்டைக்காரன்
0 சமையல்காரன் சமையல்காரி தலைவி தலைவன்
0 சமையல்காரன் சமையல்காரி பிச்சைக்காரி பிச்சைக்காரன்
0 சமையல்காரன் சமையல்காரி காவல்காரி காவல்காரன்
0 வேலைக்காரன் வேலைக்காரி தையல்காரி தையல்காரன்
0 வேலைக்காரன் வேலைக்காரி வேட்டைக்காரி வேட்டைக்காரன்
0 வேலைக்காரன் வேலைக்காரி தலைவி தலைவன்
0 வேலைக்காரன் வேலைக்காரி பிச்சைக்காரி பிச்சைக்காரன்
0 வேலைக்காரன் வேலைக்காரி காவல்காரி காவல்காரன்
0 தையல்காரன் தையல்காரி வேட்டைக்காரி வேட்டைக்காரன்
0 தையல்காரன் தையல்காரி தலைவி தலைவன்
0 தையல்காரன் தையல்காரி பிச்சைக்காரி பிச்சைக்காரன்
0 தையல்காரன் தையல்காரி காவல்காரி காவல்காரன்
0 வேட்டைக்காரன் வேட்டைக்காரி தலைவி தலைவன்
0 வேட்டைக்காரன் வேட்டைக்காரி பிச்சைக்காரி பிச்சைக்காரன்
0 வேட்டைக்காரன் வேட்டைக்காரி காவல்காரி காவல்காரன்
0 தலைவன் தலைவி பிச்சைக்காரி பிச்சைக்காரன்
0 தலைவன் தலைவி காவல்காரி காவல்காரன்
0 பிச்சைக்காரன் பிச்சைக்காரி காவல்காரி காவல்காரன்
0 பேராசிரியர் பேராசிரியை நடிகை நடிகர்
1 அவன் அவனுடைய அவளுடைய அவள்
1 அவன் அவனுடைய அதனுடைய அது
1 அவள் அவளுடைய அதனுடைய அது
1 தலை தலையின் கோயிலின் கோயில்
1 தலை தலையின் விவசாயிகளின் விவசாயிகள்
1 தலை தலையின் அரசாங்கத்தின் அரசாங்கம்
1 தலை தலையின் அவர்களின் அவர்கள்
1 தலை தலையின் அமைச்சரின் அமைச்சர்
1 தலை தலையின் கடவுளின் கடவுள்
1 தலை தலையின் இந்தியாவின் இந்தியா
1 தலை தலையின் சீனாவின் சீனா
1 தலை தலையின் தமிழர்களின் தமிழர்கள்
1 தலை தலையின் மக்களின் மக்கள்
1 தலை தலையின் கையின் கை
1 தலை தலையின் தலைவரின் தலைவர்
1 தலை தலையின் நாயகனின் நாயகன்
1 தலை தலையின் மனைவியின் மனைவி
1 தலை தலையின் கணவரின் கணவர்
1 தலை தலையின் பழத்தின் பழம்
1 தலை தலையின் புள்ளியின் புள்ளி
1 தலை தலையின் மயிலின் மயில்
1 தலை தலையின் மரத்தின் மரம்
1 தலை தலையின் படிப்பின் படிப்பு
1 தலை தலையின் அம்மாவின் அம்மா
1 தலை தலையின் தாயின் தாய்
1 தலை தலையின் திரைப்படத்தின் திரைப்படம்
1 தலை தலையின் ராஜாவின் ராஜா
1 தலை தலையின் ஆண்டவரின் ஆண்டவர்
1 தலை தலையின் பிரதமரின் பிரதமர்
1 கோயில் கோயிலின் விவசாயிகளின் விவசாயிகள்
1 கோயில் கோயிலின் அரசாங்கத்தின் அரசாங்கம்
1 கோயில் கோயிலின் அவர்களின் அவர்கள்
1 கோயில் கோயிலின் அமைச்சரின் அமைச்சர்
1 கோயில் கோயிலின் கடவுளின் கடவுள்
1 கோயில் கோயிலின் இந்தியாவின் இந்தியா
1 கோயில் கோயிலின் சீனாவின் சீனா
1 கோயில் கோயிலின் தமிழர்களின் தமிழர்கள்
1 கோயில் கோயிலின் மக்களின் மக்கள்
1 கோயில் கோயிலின் கையின் கை
1 கோயில் கோயிலின் தலைவரின் தலைவர்
1 கோயில் கோயிலின் நாயகனின் நாயகன்
1 கோயில் கோயிலின் மனைவியின் மனைவி
1 கோயில் கோயிலின் கணவரின் கணவர்
1 கோயில் கோயிலின் பழத்தின் பழம்
1 கோயில் கோயிலின் புள்ளியின் புள்ளி
1 கோயில் கோயிலின் மயிலின் மயில்
1 கோயில் கோயிலின் மரத்தின் மரம்
1 கோயில் கோயிலின் படிப்பின் படிப்பு
1 கோயில் கோயிலின் அம்மாவின் அம்மா
1 கோயில் கோயிலின் தாயின் தாய்
1 கோயில் கோயிலின் திரைப்படத்தின் திரைப்படம்
1 கோயில் கோயிலின் ராஜாவின் ராஜா
1 கோயில் கோயிலின் ஆண்டவரின் ஆண்டவர்
1 கோயில் கோயிலின் பிரதமரின் பிரதமர்
1 விவசாயிகள் விவசாயிகளின் அரசாங்கத்தின் அரசாங்கம்
1 விவசாயிகள் விவசாயிகளின் அவர்களின் அவர்கள்
1 விவசாயிகள் விவசாயிகளின் அமைச்சரின் அமைச்சர்
1 விவசாயிகள் விவசாயிகளின் கடவுளின் கடவுள்
1 விவசாயிகள் விவசாயிகளின் இந்தியாவின் இந்தியா
1 விவசாயிகள் விவசாயிகளின் சீனாவின் சீனா
1 விவசாயிகள் விவசாயிகளின் தமிழர்களின் தமிழர்கள்
1 விவசாயிகள் விவசாயிகளின் மக்களின் மக்கள்
1 விவசாயிகள் விவசாயிகளின் கையின் கை
1 விவசாயிகள் விவசாயிகளின் தலைவரின் தலைவர்
1 விவசாயிகள் விவசாயிகளின் நாயகனின் நாயகன்
